revision,gcid,actual_label,pred_label,pred_proba,correct,threshold,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs,churn,distinctAuthors,majorAuthorProp,minorAuthorCount,pair_count_alive,max_co_change_count,sum_co_change_count,max_own_independent,sum_own_independent,mean_coupling_trend,min_coupling_trend,min_last_co_change_age,min_last_solo_change_age,mean_similarity,max_similarity,frac_same_file,mean_depth,mean_wcs_recent,max_wcs_recent,min_wcs_recent,max_solo_after_last_cochange,frac_is_spcp,class_size,mean_class_size,mean_same_author,mean_ir_decay_h10,mean_ir_decay_h20,mean_ir_decay_h30,mean_ir_decay_h50,mean_ir_decay_h75,mean_cs_decay_h10,mean_cs_decay_h20,mean_cs_decay_h30,mean_cs_decay_h50,mean_cs_decay_h75,mean_spcp_decay_h10,mean_spcp_decay_h20,mean_spcp_decay_h30,mean_spcp_decay_h50,mean_spcp_decay_h75
39,87,1,,,,0.5,5.0,1.0,26.0,0.7222,0.0278,35.0,5.0,0.2,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,0.2,0.0,0.0,0.0,71.0,71.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,88,1,,,,0.5,5.0,1.0,26.0,0.7222,0.0278,35.0,5.0,0.2,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,0.2,0.0,0.0,0.0,71.0,71.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,110,0,,,,0.5,5.0,1.0,26.0,0.7222,0.0278,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9999.0,0.0,75.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,134,1,,,,0.5,6.0,1.0,26.0,0.7222,0.0278,35.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9999.0,75.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,135,1,,,,0.5,6.0,1.0,26.0,0.7222,0.0278,35.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9999.0,75.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,136,1,,,,0.5,8.0,1.0,26.0,0.7222,0.0278,35.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9999.0,83.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,139,1,,,,0.5,8.0,1.0,26.0,0.7222,0.0278,35.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9999.0,83.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,87,1,,,,0.5,5.0,2.0,27.0,0.7105,0.0526,37.0,5.0,0.2,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,8.0,0.2,0.0,0.0,0.0,71.0,71.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,88,1,,,,0.5,5.0,2.0,27.0,0.7105,0.0526,37.0,5.0,0.2,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,8.0,0.2,0.0,0.0,0.0,71.0,71.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,110,0,,,,0.5,5.0,2.0,27.0,0.7105,0.0526,37.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,9999.0,0.0,75.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
