revision,gcid1,gcid2,classId,similarity,classSize,sim_bucket,class_bucket,sameFile,depth,dep_label
29,74,75,48,70,6,<=70,6-10,0,1,0
29,75,76,48,70,6,<=70,6-10,0,1,0
29,80,81,50,80,3,71-80,3-5,0,1,0
34,94,95,112,75,3,71-80,3-5,1,0,1
37,85,87,38,71,40,71-80,21+,0,1,0
37,85,88,38,71,40,71-80,21+,0,1,0
37,86,87,38,71,40,71-80,21+,0,1,0
37,86,88,38,71,40,71-80,21+,0,1,0
37,87,88,38,71,40,71-80,21+,1,0,1
37,87,116,38,71,40,71-80,21+,0,1,0
37,87,117,38,71,40,71-80,21+,0,1,0
37,88,116,38,71,40,71-80,21+,0,1,0
37,88,117,38,71,40,71-80,21+,0,1,0
37,110,111,106,75,2,71-80,2 (pair),0,1,0
37,134,135,108,75,2,71-80,2 (pair),1,0,1
37,136,139,109,83,2,81-90,2 (pair),1,0,1
39,85,87,38,71,40,71-80,21+,0,1,0
39,85,88,38,71,40,71-80,21+,0,1,0
39,86,87,38,71,40,71-80,21+,0,1,0
39,86,88,38,71,40,71-80,21+,0,1,0
39,87,88,38,71,40,71-80,21+,1,0,1
39,87,116,38,71,40,71-80,21+,0,1,0
39,87,117,38,71,40,71-80,21+,0,1,0
39,88,116,38,71,40,71-80,21+,0,1,0
39,88,117,38,71,40,71-80,21+,0,1,0
39,110,111,106,75,2,71-80,2 (pair),0,1,0
39,150,151,107,100,2,96-100,2 (pair),1,0,0
39,134,135,108,75,2,71-80,2 (pair),1,0,1
39,136,139,109,83,2,81-90,2 (pair),1,0,1
39,152,153,110,80,3,71-80,3-5,1,0,1
65,85,87,38,71,40,71-80,21+,0,1,0
65,85,88,38,71,40,71-80,21+,0,1,0
65,86,87,38,71,40,71-80,21+,0,1,0
65,86,88,38,71,40,71-80,21+,0,1,0
65,87,88,38,71,40,71-80,21+,1,0,1
65,87,116,38,71,40,71-80,21+,0,1,0
65,87,117,38,71,40,71-80,21+,0,1,0
65,88,116,38,71,40,71-80,21+,0,1,0
65,88,117,38,71,40,71-80,21+,0,1,0
65,110,111,106,75,2,71-80,2 (pair),0,1,0
65,150,151,107,100,2,96-100,2 (pair),1,0,1
65,134,135,108,75,2,71-80,2 (pair),1,0,1
65,136,139,109,83,2,81-90,2 (pair),1,0,1
65,152,153,110,80,3,71-80,3-5,1,0,1
96,31,32,9,100,6,96-100,6-10,1,0,1
96,31,35,9,100,6,96-100,6-10,0,1,0
96,31,37,9,100,6,96-100,6-10,0,1,0
96,32,35,9,100,6,96-100,6-10,0,1,0
96,32,37,9,100,6,96-100,6-10,0,1,0
96,45,46,14,75,5,71-80,3-5,1,0,1
96,45,65,14,75,5,71-80,3-5,0,1,0
96,46,65,14,75,5,71-80,3-5,0,1,0
96,71,105,30,75,12,71-80,11-20,0,1,0
96,105,106,30,75,12,71-80,11-20,1,0,0
96,85,87,38,71,40,71-80,21+,0,1,0
96,85,88,38,71,40,71-80,21+,0,1,0
96,86,87,38,71,40,71-80,21+,0,1,0
96,86,88,38,71,40,71-80,21+,0,1,0
96,87,88,38,71,40,71-80,21+,1,0,1
96,87,116,38,71,40,71-80,21+,0,1,0
96,87,117,38,71,40,71-80,21+,0,1,0
96,88,116,38,71,40,71-80,21+,0,1,0
96,88,117,38,71,40,71-80,21+,0,1,0
96,62,145,53,75,8,71-80,6-10,1,0,0
96,144,145,53,85,8,81-90,6-10,1,0,0
96,110,111,106,75,2,71-80,2 (pair),0,1,0
96,150,151,107,100,2,96-100,2 (pair),1,0,1
96,134,135,108,75,2,71-80,2 (pair),1,0,1
96,136,139,109,83,2,81-90,2 (pair),1,0,0
96,152,153,110,80,3,71-80,3-5,1,0,1
106,164,165,46,71,13,71-80,11-20,1,0,0
106,164,166,46,71,13,71-80,11-20,1,0,1
106,165,166,46,83,13,81-90,11-20,1,0,0
106,62,167,53,75,8,71-80,6-10,0,1,0
106,144,167,53,85,8,81-90,6-10,0,1,0
106,145,167,53,85,8,81-90,6-10,0,1,0
106,149,155,105,83,3,81-90,3-5,0,1,0
106,149,156,105,83,3,81-90,3-5,0,1,0
106,155,156,105,83,3,81-90,3-5,1,0,1
106,157,158,111,80,2,71-80,2 (pair),1,0,1
106,94,159,112,75,3,71-80,3-5,0,1,0
106,95,159,112,75,3,71-80,3-5,0,1,0
106,160,161,113,100,2,96-100,2 (pair),1,0,1
106,162,163,114,100,2,96-100,2 (pair),1,0,1
119,36,170,6,72,4,71-80,3-5,0,1,0
130,77,79,49,87,3,81-90,3-5,1,0,1
130,80,81,50,80,3,71-80,3-5,0,1,0
136,94,95,112,75,3,71-80,3-5,1,0,1
136,94,159,112,75,3,71-80,3-5,0,1,0
136,95,159,112,75,3,71-80,3-5,0,1,0
137,164,171,46,71,13,71-80,11-20,1,0,1
137,164,172,46,71,13,71-80,11-20,1,0,1
137,164,173,46,71,13,71-80,11-20,1,0,1
137,171,172,46,71,13,71-80,11-20,1,0,1
137,171,173,46,71,13,71-80,11-20,1,0,1
137,172,173,46,71,13,71-80,11-20,1,0,1
137,74,168,48,70,6,<=70,6-10,0,1,0
