verification_revision,gcid,classid,decision_index,prev_change_revision,gap_since_prev_change,n_prior_changes,n_prior_co_changes,n_prior_solo_changes,co_change_ratio,solo_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_solo_change,solo_events_since_last_co_change,recent_co_ratio_last5,recent_solo_ratio_last5,nlines,similarity,file_age,change_density,stability_index,class_size,alive_peer_count,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,independent_ratio_decay_h10,coupling_strength_decay_h10,independent_ratio_decay_h20,coupling_strength_decay_h20,independent_ratio_decay_h50,coupling_strength_decay_h50,coupling_trend,cumulative_churn,distinct_authors,major_author_prop,label
39,134,44,2,37,2,1,1,0,1.0,0.0,2,2,-1,0,1.0,0.0,6,75,37,0.027,0.0331,66,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,1,1.0,1
39,134,44,3,39,0,1,1,0,1.0,0.0,2,2,-1,0,1.0,0.0,6,75,37,0.027,0.0331,66,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,1,1.0,1
39,135,44,2,37,2,1,1,0,1.0,0.0,2,2,-1,0,1.0,0.0,6,75,37,0.027,0.0331,66,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,1,1.0,1
39,136,45,2,37,2,1,1,0,1.0,0.0,2,2,-1,0,1.0,0.0,8,83,37,0.027,0.0331,67,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,224,1,1.0,1
39,139,45,3,37,2,2,1,0,0.5,0.0,2,2,-1,0,1.0,0.0,8,83,37,0.0541,0.0442,67,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,448,1,1.0,1
39,139,45,4,39,0,2,1,0,0.5,0.0,2,2,-1,0,1.0,0.0,8,83,37,0.0541,0.0442,67,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,448,1,1.0,1
65,134,44,4,39,26,3,2,0,0.6667,0.0,26,26,-1,0,1.0,0.0,6,75,63,0.0476,0.0945,66,4,1.0,0.0,0.5,0.6667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,508,1,1.0,1
65,134,44,5,65,0,3,2,0,0.6667,0.0,26,26,-1,0,1.0,0.0,6,75,63,0.0476,0.0945,66,4,1.0,0.0,0.5,0.6667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,508,1,1.0,1
65,139,45,5,39,26,4,2,0,0.5,0.0,26,26,-1,0,1.0,0.0,8,83,63,0.0635,0.1055,67,3,1.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,732,1,1.0,0
96,134,44,6,65,31,5,3,0,0.6,0.0,31,31,-1,0,1.0,0.0,6,75,94,0.0532,0.1681,66,4,1.0,0.0,0.4,0.4,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,536,1,1.0,0
96,134,44,7,96,0,5,3,0,0.6,0.0,31,31,-1,0,1.0,0.0,6,75,94,0.0532,0.1681,66,4,1.0,0.0,0.4,0.4,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,536,1,1.0,0
96,139,45,6,65,31,5,3,0,0.6,0.0,31,31,-1,0,1.0,0.0,8,83,94,0.0532,0.1804,67,3,1.0,0.0,0.4,0.4,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,746,1,1.0,1
96,139,45,7,96,0,5,3,0,0.6,0.0,31,31,-1,0,1.0,0.0,8,83,94,0.0532,0.1804,67,3,1.0,0.0,0.4,0.4,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,746,1,1.0,1
137,167,46,2,106,31,1,0,1,0.0,1.0,31,-1,31,1,0.0,1.0,5,75,40,0.025,0.0528,74,15,0.8667,0.0,0.0,0.0,0.0,0.13,1.0,0.0,1.0,0.0,1.0,0.0,0.0,17,1,1.0,1
163,120,37,2,163,0,0,0,0,0.0,0.0,161,-1,-1,0,0.0,0.0,5,100,161,0.0,0.3546,71,5,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
163,134,44,8,96,67,7,4,0,0.5714,0.0,67,67,-1,0,1.0,0.0,6,75,161,0.0435,0.3301,66,9,0.4444,0.0,0.127,0.2857,0.0,0.56,0.0,1.0,0.0,1.0,0.0,1.0,0.0,540,1,1.0,1
163,150,44,2,65,98,1,1,0,1.0,0.0,98,98,-1,0,1.0,0.0,6,100,124,0.0081,0.1581,66,8,0.375,0.125,0.0,0.0,0.0,0.62,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14,1,1.0,1
163,151,44,2,39,124,1,1,0,1.0,0.0,124,124,-1,0,1.0,0.0,6,100,124,0.0081,0.1581,66,8,0.375,0.125,0.25,1.0,0.0,0.62,0.0,1.0,0.0,1.0,0.0,1.0,0.0,142,1,1.0,1
187,120,37,3,163,24,2,1,0,0.5,0.0,24,24,-1,0,1.0,0.0,5,100,185,0.0108,0.411,71,5,0.2,0.0,0.2,1.0,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,86,1,1.0,0
187,120,37,4,187,0,2,1,0,0.5,0.0,24,24,-1,0,1.0,0.0,5,100,185,0.0108,0.411,71,5,0.2,0.0,0.2,1.0,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,86,1,1.0,0
190,134,44,9,163,27,8,5,0,0.625,0.0,27,27,-1,0,1.0,0.0,6,75,188,0.0426,0.3951,66,10,0.5,0.0,0.125,0.375,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,597,1,1.0,1
190,136,45,3,39,151,2,2,0,1.0,0.0,151,151,-1,0,1.0,0.0,8,83,188,0.0106,0.2172,67,13,0.3077,0.0,0.1154,0.5,0.0,0.69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,366,1,1.0,1
190,139,45,8,96,94,7,4,0,0.5714,0.0,94,94,-1,0,1.0,0.0,8,83,188,0.0372,0.4086,67,13,0.3077,0.0,0.0879,0.5714,0.0,0.69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,750,1,1.0,1
190,139,45,9,190,0,7,4,0,0.5714,0.0,94,94,-1,0,1.0,0.0,8,83,188,0.0372,0.4086,67,13,0.3077,0.0,0.0879,0.5714,0.0,0.69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,750,1,1.0,1
190,152,47,2,39,151,1,1,0,1.0,0.0,151,151,-1,0,1.0,0.0,6,80,151,0.0066,0.1928,64,15,0.2667,0.0,0.1333,1.0,0.0,0.73,0.0,1.0,0.0,1.0,0.0,1.0,0.0,142,1,1.0,1
200,170,4,2,119,81,1,0,1,0.0,1.0,81,-1,81,1,0.0,1.0,8,71,81,0.0123,0.0372,42,11,0.1818,0.0909,0.0,0.0,0.0,0.82,1.0,0.0,1.0,0.0,1.0,0.0,0.0,54,1,1.0,1
201,148,49,2,32,169,1,0,1,0.0,1.0,169,-1,169,1,0.0,1.0,18,73,199,0.005,0.3962,70,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,16,1,1.0,0
258,148,49,3,201,57,2,0,2,0.0,1.0,57,-1,57,2,0.0,1.0,18,73,256,0.0078,0.5136,70,19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,26,1,1.0,0
258,148,49,4,258,0,2,0,2,0.0,1.0,57,-1,57,2,0.0,1.0,18,73,256,0.0078,0.5136,70,19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,26,1,1.0,0
259,147,49,2,258,1,1,1,0,1.0,0.0,1,1,-1,0,1.0,0.0,17,76,257,0.0039,0.3031,70,19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,34,1,1.0,0
259,148,49,5,258,1,4,1,2,0.25,0.5,1,1,58,0,0.5,0.5,18,73,257,0.0156,0.5136,70,19,0.0,0.0,0.0,0.0,0.0,1.0,0.0095,0.9905,0.065,0.935,0.1991,0.8009,1.0,94,1,1.0,0
260,55,11,2,188,72,1,0,1,0.0,1.0,72,-1,72,1,0.0,1.0,5,75,258,0.0039,1.1348,36,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3,1,1.0,0
260,55,11,3,260,0,1,0,1,0.0,1.0,72,-1,72,1,0.0,1.0,5,75,258,0.0039,1.1348,36,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3,1,1.0,0
